COUNTRY_AREA_TERRITORY,STRAIN,ISO_YEAR,ISO_WEEK,COUNTRY_CODE,ORIGIN_SOURCE,SPEC_PROCESSED_NB,ISO_WEEKSTARTDATE,country,cluster_name,metasource,value,positivity,STRAIN_SOURCE
Argentina,INF_A,2008,1,ARG,NOTDEFINED,19,2007-12-31,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,2,ARG,NOTDEFINED,21,2008-01-07,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,3,ARG,NOTDEFINED,27,2008-01-14,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,4,ARG,NOTDEFINED,25,2008-01-21,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,5,ARG,NOTDEFINED,26,2008-01-28,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,6,ARG,NOTDEFINED,25,2008-02-04,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,7,ARG,NOTDEFINED,27,2008-02-11,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,8,ARG,NOTDEFINED,25,2008-02-18,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,9,ARG,NOTDEFINED,20,2008-02-25,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,10,ARG,NOTDEFINED,28,2008-03-03,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,11,ARG,NOTDEFINED,54,2008-03-10,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,12,ARG,NOTDEFINED,42,2008-03-17,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,13,ARG,NOTDEFINED,58,2008-03-24,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,14,ARG,NOTDEFINED,57,2008-03-31,Argentina,Southern America,NONSENT,1,1.7543859649122806,INF_A (NONSENT)
